settore_merceologico;insegna;tipo_via;via;civico;zd;superficie_vendita;superficie_altri_usi;superficie_tabelle_speciali;superficie_totale;codice_via;accesso;isolato;ingresso;settore_prevalente
NON ALIMENTARE;NON SPECIFICATA;VIA;FARINI CARLO;80;9;40;8;0;48;1114;NON SPECIFICATO;159;NON SPECIFICATO;LIBRERIA
NON ALIMENTARE;NON SPECIFICATA;VLE;JENNER EDOARDO;69;9;9;0;0;9;1230;ACCESSO ESTERNO;106;NON SPECIFICATO;ACCESSORI E RICAMBI AUTO MOTO
NON ALIMENTARE;NON SPECIFICATA;VIA;CHIESE;60;9;6;0;0;6;1627;NON SPECIFICATO;106;NON SPECIFICATO;ACCESSORI E RICAMBI AUTO MOTO
NON ALIMENTARE;NON SPECIFICATA;VIA;CONTE VERDE;1;9;40;0;0;40;1505;NON SPECIFICATO;256;NON SPECIFICATO;ABBIGLIAMENTO
NON ALIMENTARE;NON SPECIFICATA;VIA;MARONCELLI PIETRO;3;9;15;45;0;60;1113;NON SPECIFICATO;NON SPECIFICATO;NON SPECIFICATO;AUTO MOTO CICLI
NON ALIMENTARE;NON SPECIFICATA;VIA;FARNETI RODOLFO;11;3;160;0;0;160;2169;ACCESSO ESTERNO;037;NON SPECIFICATO;OGGETTISTICA
NON ALIMENTARE;NON SPECIFICATA;VIA;FARNETI RODOLFO;1;3;20;15;0;35;2169;ACCESSO ESTERNO;037;NON SPECIFICATO;PICCOLO ZOO
NON ALIMENTARE;NON SPECIFICATA;VIA;FARNETI RODOLFO;2;3;50;18;0;68;2169;ACCESSO ESTERNO;048;NON SPECIFICATO;FERRAMENTA E EDILIZIA
NON ALIMENTARE;NON SPECIFICATA;VIA;FARNETI RODOLFO;2;3;43;0;0;43;2169;ACCESSO ESTERNO;048;NON SPECIFICATO;TAPPETI
NON ALIMENTARE;NON SPECIFICATA;VIA;FARUFFINI FEDERICO;11;7;38;0;0;38;6286;ACCESSO ESTERNO;209;NON SPECIFICATO;PROGRAMMAZIONE E SISTEMI INFORMATICI COMPUTER
NON ALIMENTARE;NON SPECIFICATA;VIA;FARUFFINI FEDERICO;11;7;65;5;0;70;6286;NON SPECIFICATO;NON SPECIFICATO;NON SPECIFICATO;ABBIGLIAMENTO
NON ALIMENTARE;NON SPECIFICATA;VIA;FARUFFINI FEDERICO;13;7;60;0;0;60;6286;ACCESSO ESTERNO;207;NON SPECIFICATO;FERRAMENTA E EDILIZIA
NON ALIMENTARE;NON SPECIFICATA;VIA;FARUFFINI FEDERICO;13;7;80;0;0;80;6286;NON SPECIFICATO;207;NON SPECIFICATO;OGGETTISTICA
NON ALIMENTARE;NON SPECIFICATA;VIA;FARUFFINI FEDERICO;17;7;33;0;0;33;6286;ACCESSO ESTERNO;207;NON SPECIFICATO;OGGETTISTICA
NON ALIMENTARE;NON SPECIFICATA;VIA;FARUFFINI FEDERICO;17;7;80;0;0;80;6286;ACCESSO ESTERNO;207;NON SPECIFICATO;OTTICA
NON ALIMENTARE;NON SPECIFICATA;VIA;FARUFFINI FEDERICO;17;7;29;0;0;29;6286;NON SPECIFICATO;207;NON SPECIFICATO;ABBIGLIAMENTO
NON ALIMENTARE;NON SPECIFICATA;VIA;FARUFFINI FEDERICO;17;7;30;0;0;30;6286;NON SPECIFICATO;207;NON SPECIFICATO;ABBIGLIAMENTO
NON ALIMENTARE;NON SPECIFICATA;VIA;FARUFFINI FEDERICO;43;7;20;0;0;20;6286;NON SPECIFICATO;NON SPECIFICATO;NON SPECIFICATO;OGGETTISTICA
NON ALIMENTARE;NON SPECIFICATA;VIA;FARUFFINI FEDERICO;4;7;39;8;0;47;6286;NON SPECIFICATO;211;NON SPECIFICATO;ABBIGLIAMENTO
NON ALIMENTARE;NON SPECIFICATA;VIA;FARUFFINI FEDERICO;7;7;31;0;0;31;6286;ACCESSO ESTERNO;207;NON SPECIFICATO;TELEFONI
NON ALIMENTARE;NON SPECIFICATA;VIA;FARUFFINI FEDERICO;7;7;32;8;0;40;6286;ACCESSO ESTERNO;209;NON SPECIFICATO;PROFUMERIA
NON ALIMENTARE;NON SPECIFICATA;VIA;FATEBENEFRATELLI;15;1;166;0;0;166;144;ACCESSO ESTERNO;093;NON SPECIFICATO;ANTICHITA E OGGETTI D ARTE AN
NON ALIMENTARE;NON SPECIFICATA;VIA;FATEBENEFRATELLI;15;1;60;0;0;60;144;ACCESSO ESTERNO;093;NON SPECIFICATO;ABBIGLIAMENTO
NON ALIMENTARE;NON SPECIFICATA;VIA;FATEBENEFRATELLI;15;1;67;0;0;67;144;ACCESSO ESTERNO;093;NON SPECIFICATO;ARREDAMENTO
NON ALIMENTARE;NON SPECIFICATA;VIA;FATEBENEFRATELLI;15;1;120;0;0;120;144;NON SPECIFICATO;093;NON SPECIFICATO;ANTICHITA E OGGETTI D ARTE AN
NON ALIMENTARE;NON SPECIFICATA;VIA;FATEBENEFRATELLI;18;1;185;0;0;185;144;ACCESSO ESTERNO;027;NON SPECIFICATO;ARREDAMENTO
NON ALIMENTARE;NON SPECIFICATA;VIA;FATEBENEFRATELLI;23;1;32;6;0;38;144;ACCESSO ESTERNO;093;NON SPECIFICATO;ABBIGLIAMENTO
NON ALIMENTARE;NON SPECIFICATA;VIA;FATEBENEFRATELLI;34;1;46;0;0;46;144;ACCESSO ESTERNO;182;NON SPECIFICATO;OTTICA
NON ALIMENTARE;NON SPECIFICATA;VIA;FATEBENEFRATELLI;9;1;29;20;0;49;144;ACCESSO ESTERNO;181;NON SPECIFICATO;FIORI E PIANTE
NON ALIMENTARE;NON SPECIFICATA;VIA;FATEBENEFRATELLI;9;1;240;0;0;240;144;NON SPECIFICATO;NON SPECIFICATO;NON SPECIFICATO;PIASTRELLE
NON ALIMENTARE;NON SPECIFICATA;VIA;FAUCHE' GIOVANNI BATTISTA;11;8;78;0;0;78;7192;NON SPECIFICATO;048;NON SPECIFICATO;APPARECCHIATURE ELETTRONICHE
NON ALIMENTARE;NON SPECIFICATA;VIA;FAUCHE' GIOVANNI BATTISTA;15;8;225;0;0;225;7192;ACCESSO ESTERNO;047;NON SPECIFICATO;PNEUMATICI
NON ALIMENTARE;NON SPECIFICATA;VIA;FAUCHE' GIOVANNI BATTISTA;35;8;35;65;0;100;7192;NON SPECIFICATO;027;NON SPECIFICATO;ABBIGLIAMENTO
NON ALIMENTARE;NON SPECIFICATA;VIA;FAUCHE' GIOVANNI BATTISTA;35;8;40;60;0;100;7192;NON SPECIFICATO;027;NON SPECIFICATO;OGGETTISTICA
NON ALIMENTARE;NON SPECIFICATA;VIA;FAUCHE' GIOVANNI BATTISTA;37;8;15;0;0;15;7192;NON SPECIFICATO;027;NON SPECIFICATO;ABBIGLIAMENTO
NON ALIMENTARE;NON SPECIFICATA;VIA;FAUCHE' GIOVANNI BATTISTA;38;8;40;25;0;65;7192;ACCESSO ESTERNO;028;NON SPECIFICATO;FERRAMENTA E EDILIZIA
NON ALIMENTARE;NON SPECIFICATA;VIA;FAUCHE' GIOVANNI BATTISTA;40;8;40;30;0;70;7192;ACCESSO ESTERNO;028;NON SPECIFICATO;OGGETTISTICA
NON ALIMENTARE;NON SPECIFICATA;VIA;FAUCHE' GIOVANNI BATTISTA;9;8;39;20;0;59;7192;ACCESSO ESTERNO;048;NON SPECIFICATO;LANE E FILATI
NON ALIMENTARE;NON SPECIFICATA;VIA;FAUCHE' GIOVANNI BATTISTA;S.N.C.;8;16;0;0;16;7192;NON SPECIFICATO;NON SPECIFICATO;NON SPECIFICATO;BIGIOTTERIA E CHINCAGLIERIA
NON ALIMENTARE;NON SPECIFICATA;VIA;FAVRETTO GIACOMO;15;6;68;0;0;68;6120;ACCESSO ESTERNO;302;NON SPECIFICATO;ATTREZZAT E ARTICOLI EROTICI
NON ALIMENTARE;NON SPECIFICATA;VIA;FAVRETTO GIACOMO;15;6;90;0;0;90;6120;ACCESSO ESTERNO;302;NON SPECIFICATO;AUTO MOTO CICLI
NON ALIMENTARE;NON SPECIFICATA;VIA;FELTRE;1;3;84;31;0;115;2652;ACCESSO ESTERNO;058;NON SPECIFICATO;CALZATURE
NON ALIMENTARE;NON SPECIFICATA;VIA;FELTRE;1;3;22;0;0;22;2652;ACCESSO ESTERNO;058;NON SPECIFICATO;FIORI E PIANTE
NON ALIMENTARE;NON SPECIFICATA;VIA;FELTRE;33;3;18;0;0;18;2652;NON SPECIFICATO;062;NON SPECIFICATO;OGGETTISTICA
NON ALIMENTARE;NON SPECIFICATA;VIA;FERABOLI ACHILLE;33;5;40;25;0;65;5421;ACCESSO ESTERNO;089;NON SPECIFICATO;MERCERIA
NON ALIMENTARE;NON SPECIFICATA;VIA;FERABOLI ACHILLE;37;5;33;0;0;33;5421;NON SPECIFICATO;NON SPECIFICATO;NON SPECIFICATO;COSE USATE SENZA PREGIO RIGAT
NON ALIMENTARE;NON SPECIFICATA;VIA;FERABOLI ACHILLE;39;5;56;0;0;56;5421;ACCESSO ESTERNO;089;NON SPECIFICATO;OGGETTISTICA
NON ALIMENTARE;NON SPECIFICATA;VIA;FERRARI GAUDENZIO;16;1;150;40;0;190;5167;ACCESSO INTERNO;055;NON SPECIFICATO;ARREDAMENTO
NON ALIMENTARE;NON SPECIFICATA;VIA;FERRARI GAUDENZIO;3;1;48;0;0;48;5167;ACCESSO ESTERNO;131;NON SPECIFICATO;OGGETTISTICA
NON ALIMENTARE;NON SPECIFICATA;VIA;FERRARI GAUDENZIO;3;1;25;0;0;25;5167;ACCESSO ESTERNO;131;NON SPECIFICATO;AUTOVEICOLI
NON ALIMENTARE;NON SPECIFICATA;VIA;FERRARI GAUDENZIO;5;1;40;0;0;40;5167;ACCESSO ESTERNO;131;NON SPECIFICATO;MERCERIA
NON ALIMENTARE;NON SPECIFICATA;VIA;FERRARI GAUDENZIO;5;1;20;0;0;20;5167;NON SPECIFICATO;NON SPECIFICATO;NON SPECIFICATO;GIOIELLERIA E OROLOGERIA
NON ALIMENTARE;NON SPECIFICATA;VIA;FERRARI GAUDENZIO;6;1;30;0;0;30;5167;ACCESSO ESTERNO;056;NON SPECIFICATO;FIORI E PIANTE
NON ALIMENTARE;NON SPECIFICATA;VIA;FERRARI GAUDENZIO;8;1;90;0;0;90;5167;NON SPECIFICATO;056;NON SPECIFICATO;BICICLETTE
NON ALIMENTARE;NON SPECIFICATA;VIA;FERRARI GAUDENZIO;9;1;180;0;0;180;5167;ACCESSO ESTERNO;130;NON SPECIFICATO;ARREDAMENTO
NON ALIMENTARE;NON SPECIFICATA;VIA;FERRARI GAUDENZIO;9;1;22;0;0;22;5167;NON SPECIFICATO;NON SPECIFICATO;NON SPECIFICATO;ABBIGLIAMENTO
NON ALIMENTARE;NON SPECIFICATA;VIA;FERRARI VIRGILIO;16;5;10;150;0;160;7583;NON SPECIFICATO;026;NON SPECIFICATO;ACCESSORI E RICAMBI AUTO MOTO
NON ALIMENTARE;NON SPECIFICATA;VIA;FERRIERI ENZO;16;7;57;0;0;57;6367;NON SPECIFICATO;010;NON SPECIFICATO;OTTICA
NON ALIMENTARE;NON SPECIFICATA;VIA;FERRINI CONTARDO;11;4;42;0;0;42;4079;ACCESSO INTERNO;142;NON SPECIFICATO;ANTICHITA E OGGETTI D ARTE AN
NON ALIMENTARE;NON SPECIFICATA;VIA;FERRUCCI FRANCESCO;16;8;50;0;0;50;7150;ACCESSO ESTERNO;084;NON SPECIFICATO;ABBIGLIAMENTO
NON ALIMENTARE;NON SPECIFICATA;VIA;FERRUCCI FRANCESCO;19;8;41;0;0;41;7150;ACCESSO ESTERNO;087;NON SPECIFICATO;ACCESSORI E RICAMBI AUTO MOTO
NON ALIMENTARE;NON SPECIFICATA;VIA;FERRUCCI FRANCESCO;1;8;25;0;0;25;7150;ACCESSO ESTERNO;090;NON SPECIFICATO;CALZATURE
NON ALIMENTARE;NON SPECIFICATA;VIA;FERRUCCI FRANCESCO;6;8;37;380;0;417;7150;ACCESSO ESTERNO;085;NON SPECIFICATO;AUTOVEICOLI
NON ALIMENTARE;NON SPECIFICATA;VIA;FERRUCCI FRANCESCO;8;8;104;0;0;104;7150;ACCESSO INTERNO;085;NON SPECIFICATO;ANTICHITA E OGGETTI D ARTE AN
NON ALIMENTARE;NON SPECIFICATA;VIA;FESTA DEL PERDONO;10;1;25;105;0;130;327;ACCESSO ESTERNO;325;NON SPECIFICATO;OGGETTISTICA
NON ALIMENTARE;NON SPECIFICATA;VIA;FESTA DEL PERDONO;3;1;45;0;0;45;327;ACCESSO INTERNO;269;NON SPECIFICATO;LIBRERIA
NON ALIMENTARE;NON SPECIFICATA;VIA;FESTA DEL PERDONO;8;1;41;0;0;41;327;ACCESSO ESTERNO;324;NON SPECIFICATO;OGGETTISTICA
NON ALIMENTARE;NON SPECIFICATA;VIA;FESTA DEL PERDONO;8;1;12;0;0;12;327;ACCESSO ESTERNO;324;NON SPECIFICATO;FARMACIA ED ERBORISTERIA
NON ALIMENTARE;NON SPECIFICATA;VIA;FIAMMA GALVANO;10;4;200;0;0;200;3079;ACCESSO ESTERNO;037;NON SPECIFICATO;ANTICHITA E OGGETTI D ARTE AN
NON ALIMENTARE;NON SPECIFICATA;VIA;FIAMMA GALVANO;11;4;77;0;0;77;3079;ACCESSO ESTERNO;036;NON SPECIFICATO;OGGETTISTICA
NON ALIMENTARE;NON SPECIFICATA;VIA;FIAMMA GALVANO;11;4;8;57;0;65;3079;NON SPECIFICATO;NON SPECIFICATO;NON SPECIFICATO;CANCELLERIA
NON ALIMENTARE;NON SPECIFICATA;VIA;FIAMMA GALVANO;17;4;31;0;0;31;3079;ACCESSO ESTERNO;026;NON SPECIFICATO;MATERIALI DA COSTRUZIONE
NON ALIMENTARE;NON SPECIFICATA;VIA;FIAMMA GALVANO;18;4;190;0;0;190;3079;NON SPECIFICATO;027;NON SPECIFICATO;ABBIGLIAMENTO
NON ALIMENTARE;NON SPECIFICATA;VIA;FIAMMA GALVANO;21;4;109;0;0;109;3079;ACCESSO ESTERNO;017;NON SPECIFICATO;CASALINGHI
NON ALIMENTARE;NON SPECIFICATA;VIA;FIAMMA GALVANO;27;4;50;0;0;50;3079;NON SPECIFICATO;017;NON SPECIFICATO;OGGETTISTICA
NON ALIMENTARE;NON SPECIFICATA;VIA;FIAMMA GALVANO;36;4;36;0;0;36;3079;ACCESSO ESTERNO;005;NON SPECIFICATO;RADIO TV ELETTRODOMESTICI APPARECCHIATURE RADIO
NON ALIMENTARE;NON SPECIFICATA;VIA;FIAMMA GALVANO;40;4;50;70;0;120;3079;ACCESSO ESTERNO;005;NON SPECIFICATO;ABBIGLIAMENTO
NON ALIMENTARE;NON SPECIFICATA;VIA;FIAMMA GALVANO;40;4;70;0;0;70;3079;NON SPECIFICATO;005;NON SPECIFICATO;ANTICHITA E OGGETTI D ARTE AN
NON ALIMENTARE;NON SPECIFICATA;VIA;FIAMMA GALVANO;40;4;120;0;0;120;3079;NON SPECIFICATO;005;NON SPECIFICATO;OGGETTISTICA
NON ALIMENTARE;NON SPECIFICATA;VIA;FIAMMA GALVANO;9;4;31;22;0;53;3079;ACCESSO ESTERNO;036;NON SPECIFICATO;FERRAMENTA E EDILIZIA
NON ALIMENTARE;NON SPECIFICATA;VIA;FIENO;1;1;66;0;0;66;528;ACCESSO ESTERNO;396;NON SPECIFICATO;ABBIGLIAMENTO
NON ALIMENTARE;NON SPECIFICATA;VIA;FIENO;3;1;75;0;0;75;528;ACCESSO ESTERNO;396;NON SPECIFICATO;PELLICCERIA
NON ALIMENTARE;NON SPECIFICATA;VIA;FIENO;6;1;50;0;0;50;528;ACCESSO ESTERNO;426;NON SPECIFICATO;ABBIGLIAMENTO
NON ALIMENTARE;NON SPECIFICATA;VIA;FILARETE;7;1;40;0;0;40;7144;NON SPECIFICATO;100;NON SPECIFICATO;ABBIGLIAMENTO
NON ALIMENTARE;NON SPECIFICATA;VIA;FILIPPINO DEGLI ORGANI;9;4;23;0;0;23;3162;ACCESSO ESTERNO;080;NON SPECIFICATO;OGGETTISTICA
NON ALIMENTARE;NON SPECIFICATA;VIA;FILIPPINO DEGLI ORGANI;9;4;15;0;0;15;3162;ACCESSO ESTERNO;080;NON SPECIFICATO;PROFUMERIA
NON ALIMENTARE;NON SPECIFICATA;VIA;FILODRAMMATICI;2;1;60;0;0;60;113;NON SPECIFICATO;366;NON SPECIFICATO;OGGETTISTICA
NON ALIMENTARE;NON SPECIFICATA;VIA;FILODRAMMATICI;2;1;10;0;0;10;113;NON SPECIFICATO;366;NON SPECIFICATO;OGGETTISTICA
NON ALIMENTARE;NON SPECIFICATA;VIA;FILZI FABIO;10;2;92;0;0;92;1190;NON SPECIFICATO;309;NON SPECIFICATO;QUADRI E CORNICI
NON ALIMENTARE;NON SPECIFICATA;VIA;FILZI FABIO;10;2;100;0;0;100;1190;NON SPECIFICATO;NON SPECIFICATO;NON SPECIFICATO;ABBIGLIAMENTO
NON ALIMENTARE;NON SPECIFICATA;VIA;FILZI FABIO;11;2;25;22;0;47;1190;ACCESSO ESTERNO;307;NON SPECIFICATO;CASALINGHI
NON ALIMENTARE;NON SPECIFICATA;VIA;FILZI FABIO;12;2;40;0;0;40;1190;ACCESSO ESTERNO;309;NON SPECIFICATO;ARREDAMENTO
NON ALIMENTARE;NON SPECIFICATA;VIA;FILZI FABIO;12;2;36;14;0;50;1190;NON SPECIFICATO;NON SPECIFICATO;NON SPECIFICATO;ABBIGLIAMENTO
NON ALIMENTARE;NON SPECIFICATA;VIA;FILZI FABIO;14;2;75;27;0;102;1190;ACCESSO ESTERNO;309;NON SPECIFICATO;ABBIGLIAMENTO
NON ALIMENTARE;NON SPECIFICATA;VIA;FILZI FABIO;14;2;36;9;0;45;1190;ACCESSO ESTERNO;309;NON SPECIFICATO;FIORI E PIANTE
NON ALIMENTARE;NON SPECIFICATA;VIA;FILZI FABIO;15;2;35;5;0;40;1190;ACCESSO ESTERNO;306;NON SPECIFICATO;OGGETTISTICA
NON ALIMENTARE;NON SPECIFICATA;VIA;FILZI FABIO;15;2;100;15;0;115;1190;ACCESSO ESTERNO;306;NON SPECIFICATO;RADIO TV ELETTRODOMESTICI APPARECCHIATURE RADIO
NON ALIMENTARE;NON SPECIFICATA;VIA;FILZI FABIO;19;2;22;0;0;22;1190;ACCESSO ESTERNO;306;NON SPECIFICATO;OTTICA
NON ALIMENTARE;NON SPECIFICATA;VIA;FILZI FABIO;19;2;25;0;0;25;1190;NON SPECIFICATO;NON SPECIFICATO;NON SPECIFICATO;ARREDAMENTO
NON ALIMENTARE;NON SPECIFICATA;VIA;FILZI FABIO;23;2;32;13;0;45;1190;ACCESSO ESTERNO;306;NON SPECIFICATO;GIOIELLERIA E OROLOGERIA
NON ALIMENTARE;NON SPECIFICATA;VIA;FILZI FABIO;23;2;25;12;0;37;1190;ACCESSO ESTERNO;306;NON SPECIFICATO;PROFUMERIA
NON ALIMENTARE;NON SPECIFICATA;VIA;FILZI FABIO;23;2;29;54;0;83;1190;ACCESSO ESTERNO;306;NON SPECIFICATO;PROFUMERIA
NON ALIMENTARE;NON SPECIFICATA;VIA;FILZI FABIO;23;2;66;12;0;78;1190;ACCESSO ESTERNO;306;NON SPECIFICATO;VALIGERIA PELLETTERIA
NON ALIMENTARE;NON SPECIFICATA;VIA;FILZI FABIO;2;2;40;0;0;40;1190;NON SPECIFICATO;NON SPECIFICATO;NON SPECIFICATO;TESSUTI E BIANCHERIA PER LA CASA
NON ALIMENTARE;NON SPECIFICATA;VIA;FILZI FABIO;41;2;73;70;0;143;1190;ACCESSO ESTERNO;242;NON SPECIFICATO;CALZATURE
NON ALIMENTARE;NON SPECIFICATA;VIA;FILZI FABIO;41;2;15;15;0;30;1190;ACCESSO ESTERNO;242;NON SPECIFICATO;OGGETTISTICA
NON ALIMENTARE;NON SPECIFICATA;VIA;FILZI FABIO;47;2;52;31;0;83;1190;ACCESSO ESTERNO;242;NON SPECIFICATO;ABBIGLIAMENTO
NON ALIMENTARE;NON SPECIFICATA;VIA;FILZI FABIO;8;2;2;0;0;2;1190;NON SPECIFICATO;310;NON SPECIFICATO;TRATTORIA
NON ALIMENTARE;NON SPECIFICATA;VIA;FILZI FABIO;8;2;75;0;0;75;1190;NON SPECIFICATO;NON SPECIFICATO;NON SPECIFICATO;ABBIGLIAMENTO
NON ALIMENTARE;NON SPECIFICATA;VIA;FILZI FABIO;9;2;15;0;0;15;1190;NON SPECIFICATO;307;NON SPECIFICATO;OGGETTISTICA
NON ALIMENTARE;NON SPECIFICATA;VIA;FILZI FABIO;9;2;40;5;0;45;1190;NON SPECIFICATO;307;NON SPECIFICATO;LIBRERIA
NON ALIMENTARE;NON SPECIFICATA;VIA;FINOCCHIARO APRILE;14;2;0;0;0;0;2120;NON SPECIFICATO;118;NON SPECIFICATO;ANTICHITA E OGGETTI D ARTE AN
NON ALIMENTARE;NON SPECIFICATA;VIA;FINZI PROSPERO;12;2;28;0;0;28;2341;ACCESSO ESTERNO;174;NON SPECIFICATO;COMBUSTIBILI
NON ALIMENTARE;NON SPECIFICATA;VIA;FINZI PROSPERO;2;2;100;40;0;140;2341;ACCESSO ESTERNO;143;NON SPECIFICATO;FERRAMENTA E EDILIZIA
NON ALIMENTARE;NON SPECIFICATA;VIA;FIORAVANTI ARISTIDE;14;8;10;108;0;118;7236;NON SPECIFICATO;066;NON SPECIFICATO;PROGRAMMAZIONE E SISTEMI INFORMATICI COMPUTER
NON ALIMENTARE;NON SPECIFICATA;VIA;FIORAVANTI ARISTIDE;21;8;46;0;0;46;7236;ACCESSO ESTERNO;075;NON SPECIFICATO;ACCESSORI E RICAMBI AUTO MOTO
NON ALIMENTARE;NON SPECIFICATA;VIA;FIORAVANTI ARISTIDE;28;8;30;0;0;30;7236;ACCESSO ESTERNO;065;NON SPECIFICATO;OGGETTISTICA
ALIMENTARE;NON SPECIFICATA;VIA;FIORAVANTI ARISTIDE;30;6;120;0;0;120;7236;NON SPECIFICATO;NON SPECIFICATO;NON SPECIFICATO;ALIMENTARI
NON ALIMENTARE;NON SPECIFICATA;VIA;FIORAVANTI ARISTIDE;S.N.C.;8;78;0;0;78;7236;ACCESSO ESTERNO;063;NON SPECIFICATO;MATERIALI DA COSTRUZIONE
NON ALIMENTARE;NON SPECIFICATA;VIA;FIORI CHIARI;12;1;45;0;0;45;135;ACCESSO ESTERNO;261;NON SPECIFICATO;ABBIGLIAMENTO
NON ALIMENTARE;NON SPECIFICATA;VIA;FIORI CHIARI;12;1;40;40;0;80;135;NON SPECIFICATO;298;NON SPECIFICATO;ANTICHITA E OGGETTI D ARTE AN
NON ALIMENTARE;NON SPECIFICATA;VIA;FIORI CHIARI;14;1;35;0;0;35;135;NON SPECIFICATO;298;NON SPECIFICATO;ABBIGLIAMENTO
NON ALIMENTARE;NON SPECIFICATA;VIA;FIORI CHIARI;14;1;90;0;0;90;135;NON SPECIFICATO;298;NON SPECIFICATO;ABBIGLIAMENTO
NON ALIMENTARE;NON SPECIFICATA;VIA;FIORI CHIARI;16;1;26;17;0;43;135;ACCESSO ESTERNO;298;NON SPECIFICATO;GIOIELLERIA E OROLOGERIA
NON ALIMENTARE;NON SPECIFICATA;VIA;FIORI CHIARI;18;1;80;0;0;80;135;ACCESSO ESTERNO;298;NON SPECIFICATO;ANTICHITA E OGGETTI D ARTE AN
NON ALIMENTARE;NON SPECIFICATA;VIA;FIORI CHIARI;24;1;60;0;0;60;135;NON SPECIFICATO;NON SPECIFICATO;NON SPECIFICATO;ARREDAMENTO
NON ALIMENTARE;NON SPECIFICATA;VIA;FIORI CHIARI;26;1;13;0;0;13;135;ACCESSO ESTERNO;297;NON SPECIFICATO;ABBIGLIAMENTO
NON ALIMENTARE;NON SPECIFICATA;VIA;FIORI CHIARI;26;1;55;50;0;105;135;NON SPECIFICATO;297;NON SPECIFICATO;ARREDAMENTO
NON ALIMENTARE;NON SPECIFICATA;VIA;FIORI CHIARI;2;1;92;0;0;92;135;ACCESSO ESTERNO;298;NON SPECIFICATO;ARREDAMENTO
NON ALIMENTARE;NON SPECIFICATA;VIA;FIORI CHIARI;34;1;170;0;0;170;135;NON SPECIFICATO;NON SPECIFICATO;NON SPECIFICATO;ARREDAMENTO
NON ALIMENTARE;NON SPECIFICATA;VIA;FIORI CHIARI;3;1;95;0;0;95;135;ACCESSO ESTERNO;303;NON SPECIFICATO;ANTICHITA E OGGETTI D ARTE AN
NON ALIMENTARE;NON SPECIFICATA;VIA;FIORI CHIARI;8;1;107;0;0;107;135;ACCESSO ESTERNO;298;NON SPECIFICATO;ARREDAMENTO
NON ALIMENTARE;NON SPECIFICATA;VIA;FIORI CHIARI;S.N.C.;1;35;0;0;35;135;ACCESSO ESTERNO;NON SPECIFICATO;NON SPECIFICATO;ABBIGLIAMENTO
NON ALIMENTARE;NON SPECIFICATA;VIA;FIORI OSCURI;3;1;125;13;0;138;136;ACCESSO ESTERNO;300;NON SPECIFICATO;OGGETTISTICA
NON ALIMENTARE;NON SPECIFICATA;VIA;FIUGGI;33;9;20;0;0;20;1328;ACCESSO INTERNO;016;NON SPECIFICATO;ACCESSORI E RICAMBI AUTO MOTO
NON ALIMENTARE;NON SPECIFICATA;VIA;FIUGGI;56;9;26;8;0;34;1328;ACCESSO ESTERNO;008;NON SPECIFICATO;ABBIGLIAMENTO
NON ALIMENTARE;NON SPECIFICATA;VIA;IMBONATI CARLO;90;9;30;0;0;30;1311;ACCESSO ESTERNO;013;NON SPECIFICATO;PRODOTTI PER IGIENE PERSONA CASA
NON ALIMENTARE;NON SPECIFICATA;VLE;FERMI ENRICO;S.N.C.;9;30;0;0;30;1088;ACCESSO ESTERNO;013;NON SPECIFICATO;PRODOTTI PER IGIENE PERSONA CASA
NON ALIMENTARE;NON SPECIFICATA;VIA;FLAVIA;3;9;120;0;0;120;1560;ACCESSO INTERNO;087;NON SPECIFICATO;RADIO TV ELETTRODOMESTICI APPARECCHIATURE RADIO
NON ALIMENTARE;NON SPECIFICATA;VIA;F.LLI ANTONA TRAVERSI;19;8;42;0;0;42;7354;NON SPECIFICATO;060;NON SPECIFICATO;OGGETTISTICA
NON ALIMENTARE;NON SPECIFICATA;VIA;F.LLI ANTONA TRAVERSI;20;8;38;2;0;40;7354;ACCESSO ESTERNO;057;NON SPECIFICATO;FERRAMENTA E EDILIZIA
NON ALIMENTARE;NON SPECIFICATA;VIA;F.LLI ANTONA TRAVERSI;20;8;56;9;0;65;7354;ACCESSO ESTERNO;057;NON SPECIFICATO;RADIO TV ELETTRODOMESTICI APPARECCHIATURE RADIO
NON ALIMENTARE;NON SPECIFICATA;VIA;F.LLI ANTONA TRAVERSI;20;8;5;0;0;5;7354;NON SPECIFICATO;NON SPECIFICATO;NON SPECIFICATO;OGGETTISTICA
NON ALIMENTARE;NON SPECIFICATA;VIA;F.LLI ANTONA TRAVERSI;23;8;30;0;0;30;7354;ACCESSO ESTERNO;059;NON SPECIFICATO;ABBIGLIAMENTO
NON ALIMENTARE;NON SPECIFICATA;VIA;F.LLI ANTONA TRAVERSI;23;8;35;0;0;35;7354;NON SPECIFICATO;059;NON SPECIFICATO;ARREDAMENTO
NON ALIMENTARE;NON SPECIFICATA;VIA;F.LLI ANTONA TRAVERSI;23;8;150;8;0;158;7354;ACCESSO ESTERNO;098;NON SPECIFICATO;AUTO MOTO CICLI
NON ALIMENTARE;NON SPECIFICATA;VIA;F.LLI ANTONA TRAVERSI;6;8;121;121;0;242;7354;ACCESSO ESTERNO;063;NON SPECIFICATO;ACCESSORI E RICAMBI AUTO MOTO
NON ALIMENTARE;NON SPECIFICATA;VIA;F.LLI BOZZI;2;7;74;74;0;148;6311;ACCESSO ESTERNO;035;NON SPECIFICATO;FERRAMENTA E EDILIZIA
