settore_merceologico;insegna;tipo_via;via;civico;zd;superficie_vendita;superficie_altri_usi;superficie_tabelle_speciali;superficie_totale;codice_via;accesso;isolato;ingresso;settore_prevalente
NON SPECIFICATO;NON SPECIFICATA;VIA;LORENTEGGIO;41;6;0;0;0;0;5132;NON SPECIFICATO;NON SPECIFICATO;NON SPECIFICATO;SETTORE NON SPECIFICATO
NON SPECIFICATO;NON SPECIFICATA;VIA;LORENTEGGIO;45;6;24;9;0;33;5132;NON SPECIFICATO;NON SPECIFICATO;NON SPECIFICATO;ABBIGLIAMENTO
ALIMENTARE;NON SPECIFICATA;VIA;MAC MAHON;77;8;0;0;0;0;7221;NON SPECIFICATO;NON SPECIFICATO;NON SPECIFICATO;PANIFICIO
NON SPECIFICATO;NON SPECIFICATA;VIA;MARCO POLO;13;9;0;0;0;0;1103;NON SPECIFICATO;NON SPECIFICATO;NON SPECIFICATO;SETTORE NON SPECIFICATO
ALIMENTARE;NON SPECIFICATA;VIA;MARGHERA;51;7;12;0;0;12;6280;NON SPECIFICATO;NON SPECIFICATO;NON SPECIFICATO;PANIFICIO
NON SPECIFICATO;NON SPECIFICATA;VIA;MAROCHETTI CARLO;7;4;15;13;0;28;4185;NON SPECIFICATO;NON SPECIFICATO;NON SPECIFICATO;COMMERCIO AL DETTAGLIO
NON SPECIFICATO;NON SPECIFICATA;VIA;MASOLINO DA PANICALE;4;8;40;11;0;51;7264;NON SPECIFICATO;NON SPECIFICATO;NON SPECIFICATO;SETTORE NON SPECIFICATO
ALIMENTARE;NON SPECIFICATA;VIA;MELZI D'ERIL FRANCESCO;3;1;0;0;0;0;7118;NON SPECIFICATO;NON SPECIFICATO;NON SPECIFICATO;PANIFICIO
NON SPECIFICATO;NON SPECIFICATA;VIA;MENOTTI CIRO;14;3;0;0;0;0;3184;NON SPECIFICATO;NON SPECIFICATO;NON SPECIFICATO;SETTORE NON SPECIFICATO
NON SPECIFICATO;NON SPECIFICATA;VIA;MOLINO DELLE ARMI;S.N.C.;1;115;0;0;115;591;ACCESSO ESTERNO;217;NON SPECIFICATO;FIORI E PIANTE
NON SPECIFICATO;NON SPECIFICATA;VIA;MONTEFELTRO;6;8;100;0;0;100;7411;ACCESSO ESTERNO;188;NON SPECIFICATO;OGGETTISTICA
ALIMENTARE;NON SPECIFICATA;VIA;MURAT GIOACCHINO;60;9;0;0;0;0;1316;NON SPECIFICATO;020;NON SPECIFICATO;FRUTTA VERDURA E FUNGHI
NON SPECIFICATO;NON SPECIFICATA;VIA;NEERA ANNA;46;5;115;10;0;125;5326;NON SPECIFICATO;NON SPECIFICATO;NON SPECIFICATO;SETTORE NON SPECIFICATO
NON SPECIFICATO;NON SPECIFICATA;VIA;PADOVA;60;2;36;0;0;36;2275;ACCESSO ESTERNO;140;NON SPECIFICATO;ABBIGLIAMENTO
ALIMENTARE;NON SPECIFICATA;VIA;PADOVA;94;2;0;0;0;0;2275;NON SPECIFICATO;NON SPECIFICATO;NON SPECIFICATO;PANIFICIO
NON SPECIFICATO;NON SPECIFICATA;VIA;PADOVA;98;2;65;0;0;65;2275;NON SPECIFICATO;NON SPECIFICATO;NON SPECIFICATO;SETTORE NON SPECIFICATO
NON SPECIFICATO;NON SPECIFICATA;VIA;PIACENZA;12;5;0;0;0;0;4064;NON SPECIFICATO;NON SPECIFICATO;NON SPECIFICATO;SETTORE NON SPECIFICATO
NON SPECIFICATO;NON SPECIFICATA;VIA;POLLAK LEOPOLDO;3;7;0;0;0;0;6853;NON SPECIFICATO;129;NON SPECIFICATO;PRODOTTI PER IGIENE PERSONA CASA
ALIMENTARE;NON SPECIFICATA;VIA;RIPAMONTI GIUSEPPE;204;5;0;0;0;0;4066;NON SPECIFICATO;NON SPECIFICATO;NON SPECIFICATO;PANIFICIO
ALIMENTARE;NON SPECIFICATA;VIA;ROCCA D'ANFO;4;9;0;0;0;0;1556;NON SPECIFICATO;091;NON SPECIFICATO;FRUTTA VERDURA E FUNGHI
